areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2020-10-22,226,704443
nation,England,E92000001,2020-10-21,7870,704217
nation,England,E92000001,2020-10-20,18452,696347
nation,England,E92000001,2020-10-19,21416,677895
nation,England,E92000001,2020-10-18,11740,656479
nation,England,E92000001,2020-10-17,12248,644739
nation,England,E92000001,2020-10-16,14473,632491
nation,England,E92000001,2020-10-15,15163,618018
nation,England,E92000001,2020-10-14,16417,602855
nation,England,E92000001,2020-10-13,15402,586438
nation,England,E92000001,2020-10-12,16162,571036
nation,England,E92000001,2020-10-11,9603,554874
nation,England,E92000001,2020-10-10,10145,545271
nation,England,E92000001,2020-10-09,12996,535126
nation,England,E92000001,2020-10-08,15245,522130
nation,England,E92000001,2020-10-07,15177,506885
nation,England,E92000001,2020-10-06,14288,491708
nation,England,E92000001,2020-10-05,14019,477420
nation,England,E92000001,2020-10-04,9805,463401
nation,England,E92000001,2020-10-03,9694,453596
nation,England,E92000001,2020-10-02,11550,443902
nation,England,E92000001,2020-10-01,11293,432352
nation,England,E92000001,2020-09-30,10507,421059
nation,England,E92000001,2020-09-29,8720,410552
nation,England,E92000001,2020-09-28,8569,401832
nation,England,E92000001,2020-09-27,6025,393263
nation,England,E92000001,2020-09-26,5644,387238
nation,England,E92000001,2020-09-25,6043,381594
nation,England,E92000001,2020-09-24,6297,375551
nation,England,E92000001,2020-09-23,5886,369254
nation,England,E92000001,2020-09-22,5370,363368
nation,England,E92000001,2020-09-21,4693,357998
nation,England,E92000001,2020-09-20,4620,353305
nation,England,E92000001,2020-09-19,4183,348685
nation,England,E92000001,2020-09-18,4278,344502
nation,England,E92000001,2020-09-17,3940,340224
nation,England,E92000001,2020-09-16,3743,336284
nation,England,E92000001,2020-09-15,3048,332541
nation,England,E92000001,2020-09-14,2895,329493
nation,England,E92000001,2020-09-13,1711,326598
nation,England,E92000001,2020-09-12,2210,324887
nation,England,E92000001,2020-09-11,2857,322677
nation,England,E92000001,2020-09-10,3101,319820
nation,England,E92000001,2020-09-09,2851,316719
nation,England,E92000001,2020-09-08,3001,313868
nation,England,E92000001,2020-09-07,3464,310867
nation,England,E92000001,2020-09-06,2055,307403
nation,England,E92000001,2020-09-05,2190,305348
nation,England,E92000001,2020-09-04,2587,303158
nation,England,E92000001,2020-09-03,2667,300571
nation,England,E92000001,2020-09-02,2618,297904
nation,England,E92000001,2020-09-01,1930,295286
nation,England,E92000001,2020-08-31,1259,293356
nation,England,E92000001,2020-08-30,980,292097
nation,England,E92000001,2020-08-29,1046,291117
nation,England,E92000001,2020-08-28,1389,290071
nation,England,E92000001,2020-08-27,1337,288682
nation,England,E92000001,2020-08-26,1141,287345
nation,England,E92000001,2020-08-25,1059,286204
nation,England,E92000001,2020-08-24,1083,285145
nation,England,E92000001,2020-08-23,693,284062
nation,England,E92000001,2020-08-22,716,283369
nation,England,E92000001,2020-08-21,1004,282653
nation,England,E92000001,2020-08-20,1220,281649
nation,England,E92000001,2020-08-19,1071,280429
nation,England,E92000001,2020-08-18,925,279358
nation,England,E92000001,2020-08-17,1137,278433
nation,England,E92000001,2020-08-16,527,277296
nation,England,E92000001,2020-08-15,646,276769
nation,England,E92000001,2020-08-14,1045,276123
nation,England,E92000001,2020-08-13,1018,275078
nation,England,E92000001,2020-08-12,1092,274060
nation,England,E92000001,2020-08-11,1212,272968
nation,England,E92000001,2020-08-10,1353,271756
nation,England,E92000001,2020-08-09,557,270403
nation,England,E92000001,2020-08-08,635,269846
nation,England,E92000001,2020-08-07,864,269211
nation,England,E92000001,2020-08-06,978,268347
nation,England,E92000001,2020-08-05,943,267369
